id,title,publication_date,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,url
eDJj2iz1Ifs,KhunKai’s Kitchen EP15 : Cheese Tart / KaimookBNK48,2018-09-04T03:33:37.000Z,26809,672,18,0,47,https://www.youtube.com/watch?v=eDJj2iz1Ifs
eeuTtGoTTeo,「BNK48 3rd Single Coupling Song Announcement」from BNK48 2nd Single Handshake Event / BNK48,2018-01-13T09:53:19.000Z,258283,5466,85,0,1218,https://www.youtube.com/watch?v=eeuTtGoTTeo
Efieq5TeV9M,BNK48 Trainee｜Nannaphas Loetnamchoetsakun (Mewnich),2018-11-16T05:45:00.000Z,90056,3761,68,0,255,https://www.youtube.com/watch?v=Efieq5TeV9M
eLhtcHvGbZI,เพื่อนร่วมทาง The Journey Ep.02 Part 3,2018-01-18T17:16:59.000Z,146141,1598,17,0,158,https://www.youtube.com/watch?v=eLhtcHvGbZI
EPMOTzvYQaA,29 Seconds of 29 members #08 : Jib,2017-05-01T13:08:45.000Z,26842,412,17,0,20,https://www.youtube.com/watch?v=EPMOTzvYQaA
EQAl30byknU,BNK48 Trainee｜Maira Kuyama (Maira),2018-11-16T05:45:01.000Z,60142,2628,32,0,301,https://www.youtube.com/watch?v=EQAl30byknU
eTidHACZSZI,BNK48 Team BⅢ｜Pimrapat Phadungwatanachok (Mobile),2018-11-16T05:45:00.000Z,210672,9783,180,0,903,https://www.youtube.com/watch?v=eTidHACZSZI
exyc2lbJEYI,BNK48 Team BⅢ｜Vathusiri Phuwapunyasiri (Korn),2018-11-16T05:45:00.000Z,62533,2856,24,0,296,https://www.youtube.com/watch?v=exyc2lbJEYI
f7QG8cEAZd4,29 Seconds of 29 members #29 : Tarwaan,2017-05-01T13:08:32.000Z,45341,889,6,0,26,https://www.youtube.com/watch?v=f7QG8cEAZd4
fl6SbYkXIgs,29 Seconds of 29 members #24 : Orn,2017-05-01T13:08:37.000Z,53378,944,12,0,29,https://www.youtube.com/watch?v=fl6SbYkXIgs
FnawecgNFt8,เพื่อนร่วมทาง The Journey Ep.07 Part 1,2018-02-22T15:00:01.000Z,94968,1289,18,0,119,https://www.youtube.com/watch?v=FnawecgNFt8
FnL-bAdwgCY,Aitakatta (อยากจะได้พบเธอ) –Story Version– / BNK48,2017-06-27T04:00:00.000Z,697114,11692,271,0,798,https://www.youtube.com/watch?v=FnL-bAdwgCY
fNv0tWE42G0,BNK48 : Founder Member Announcement Teaser,2017-11-06T13:00:03.000Z,29036,479,23,0,113,https://www.youtube.com/watch?v=fNv0tWE42G0
Foahwp9BTW0,เพื่อนร่วมทาง The Journey Ep.07 Part 2,2018-02-22T15:00:01.000Z,85206,1418,22,0,175,https://www.youtube.com/watch?v=Foahwp9BTW0
fwGVoA8KfYM,29 Seconds of 29 members #16 : Miori,2017-05-01T13:08:42.000Z,57286,1380,11,0,102,https://www.youtube.com/watch?v=fwGVoA8KfYM
gDlUgtoFcB0,BNK48 Senpai ep.07 (Part 1),2017-03-16T07:02:07.000Z,714402,5014,143,0,374,https://www.youtube.com/watch?v=gDlUgtoFcB0
Ggbf__BZp70,BNK48 Show EP03 Break04,2017-07-24T06:04:51.000Z,249969,1556,50,0,111,https://www.youtube.com/watch?v=Ggbf__BZp70
gRc7JI3xc7Q,「Christmas Medley」from BNK48 We Wish You! A Merry Christmas –Fan Meet– / BNK48,2017-12-25T12:30:01.000Z,141463,3703,61,0,254,https://www.youtube.com/watch?v=gRc7JI3xc7Q
gT9KMFyXhYU,เพื่อนร่วมทาง The Journey Ep.09 Part 3,2018-03-08T16:28:41.000Z,72390,1057,22,0,178,https://www.youtube.com/watch?v=gT9KMFyXhYU
gTbh_3Mglsc,KhunKai’s Kitchen EP04 : Rainbow Pancake / KaimookBNK48,2018-09-03T04:41:18.000Z,20026,1145,18,0,80,https://www.youtube.com/watch?v=gTbh_3Mglsc
GUFi43Y3MG8,KhunKai’s Kitchen EP11 : Koisuru Orange Cookies / KaimookBNK48,2018-09-04T03:28:05.000Z,19220,644,15,0,48,https://www.youtube.com/watch?v=GUFi43Y3MG8
guUIb2e_pbE,29 Seconds of 29 members #13 : Korn,2017-05-01T13:08:40.000Z,23717,471,8,0,18,https://www.youtube.com/watch?v=guUIb2e_pbE
GyiXtTGlH3g,「BNK48 The Musical – Part 1」from BNK48 We Wish You! A Merry Christmas –Fan Meet– / BNK48,2018-01-01T03:00:02.000Z,417441,8098,75,0,729,https://www.youtube.com/watch?v=GyiXtTGlH3g
Gz1muenDaIM,BNK48 Senpai ep.08 (Part 4),2017-03-17T09:09:43.000Z,959420,6437,240,0,454,https://www.youtube.com/watch?v=Gz1muenDaIM
H7YJVXifTeA,BNK48 Senpai ep.8 Annex (GROUP1),2017-04-23T04:37:09.000Z,60005,692,18,0,60,https://www.youtube.com/watch?v=H7YJVXifTeA
hBU7h0_ypr0,KhunKai’s Kitchen EP26 : ทำขนม100ชิ้น!! แจกเด็ก ๆ / KaimookBNK48,2018-09-05T05:18:31.000Z,60545,1094,28,0,57,https://www.youtube.com/watch?v=hBU7h0_ypr0
heVveAkVo8k,BNK48 Senpai ep.05 (Part 3),2017-03-10T09:31:06.000Z,555462,3314,80,0,186,https://www.youtube.com/watch?v=heVveAkVo8k
HppJaqr2dzo,BNK48 SHOW EP6 Break03,2017-08-28T13:47:58.000Z,763037,4212,211,0,193,https://www.youtube.com/watch?v=HppJaqr2dzo
hrBAJaltYeY,BNK48 Senpai ep.11 (Part 4),2017-03-24T07:25:44.000Z,220854,1359,31,0,72,https://www.youtube.com/watch?v=hrBAJaltYeY
hVLgSOgJQ9Y,BNK48 Team BⅢ｜Kanteera Wadcharathadsanakul (Noey),2018-11-16T05:45:00.000Z,189994,8567,159,0,878,https://www.youtube.com/watch?v=hVLgSOgJQ9Y
i_hlpsY1q5U,BNK48 Senpai ep.05 (Part 1),2017-03-10T09:28:55.000Z,1578231,11290,334,0,725,https://www.youtube.com/watch?v=i_hlpsY1q5U
Ibh5baH_GAU,BNK48 SHOW EP10 Break02,2017-11-06T05:20:52.000Z,574221,3532,122,0,275,https://www.youtube.com/watch?v=Ibh5baH_GAU
iByxlVvWrww,【MV Full】Kimi wa Melody เธอคือ…เมโลดี้ / BNK48,2018-09-15T15:00:04.000Z,15588923,247911,8637,0,42363,https://www.youtube.com/watch?v=iByxlVvWrww
iEpSeV-611c,KhunKai’s Kitchen EP07 : No Sugar Brownie / KaimookBNK48,2018-09-03T04:47:43.000Z,17335,890,14,0,79,https://www.youtube.com/watch?v=iEpSeV-611c
IhK2ZPEPdZQ,BNK48 Senpai ep.13 (Part 2),2017-03-30T20:00:36.000Z,178424,1198,14,0,90,https://www.youtube.com/watch?v=IhK2ZPEPdZQ
IhXg-7epqv0,KhunKai’s Kitchen EP30 : Steamed Egg / KaimookBNK48,2018-09-05T05:58:38.000Z,47880,1649,32,0,151,https://www.youtube.com/watch?v=IhXg-7epqv0
IJpQeRLBQqo,BNK48 Show EP04 Break01,2017-07-31T09:52:37.000Z,329887,2915,63,0,247,https://www.youtube.com/watch?v=IJpQeRLBQqo
IMx1ojx2fiE,【MV Full】Shonichi วันแรก / BNK48,2018-04-10T02:00:00.000Z,9142543,140237,4433,0,14816,https://www.youtube.com/watch?v=IMx1ojx2fiE
INsnsCrauXk,BNK48 Senpai ep 10 Part 3,2017-03-23T07:00:09.000Z,255242,1511,32,0,134,https://www.youtube.com/watch?v=INsnsCrauXk
iU_HIvudvaA,BNK48 Trainee｜Jidarpha Chamchooy (Panda),2018-11-16T05:45:00.000Z,47744,2116,29,0,144,https://www.youtube.com/watch?v=iU_HIvudvaA
IUfX4LCWgds,BNK48 Team BⅢ｜Napaphat Worraphuttanon (Jaa),2018-11-16T05:45:01.000Z,52673,2307,32,0,233,https://www.youtube.com/watch?v=IUfX4LCWgds
ivQbU5i8EXc,KhunKai’s Kitchen EP05 : Santa Claus Jelly / KaimookBNK48,2018-09-03T04:41:46.000Z,15356,769,13,0,40,https://www.youtube.com/watch?v=ivQbU5i8EXc
IwbuyTc4p4c,BNK48 Team BⅢ｜BNK48 Team BⅢ Captain｜Punsikorn Tiyakorn (Pun),2018-11-16T05:45:00.000Z,189503,10585,123,0,796,https://www.youtube.com/watch?v=IwbuyTc4p4c
IwHImT7RDa4,BNK48 Trainee｜Pakwan Noijaiboon (Pakwan),2018-11-16T05:45:00.000Z,34215,1514,20,0,162,https://www.youtube.com/watch?v=IwHImT7RDa4
iWwHEn8dhrI,BNK48 Trainee｜Sirikarn Shinnawatsuwan (Phukkhom),2018-11-16T05:45:00.000Z,115630,6320,85,0,492,https://www.youtube.com/watch?v=iWwHEn8dhrI
IYhMXb-7fJY,เพื่อนร่วมทาง The Journey Ep.07 Part 3,2018-02-22T15:00:01.000Z,89826,1721,18,0,248,https://www.youtube.com/watch?v=IYhMXb-7fJY
j4__wZnPLOQ,เพื่อนร่วมทาง The Journey Ep.13 Part 3,2018-04-07T03:30:00.000Z,73231,1547,47,0,256,https://www.youtube.com/watch?v=j4__wZnPLOQ
J5-J_5iUNuo,BNK48 SHOW EP6 Break02,2017-08-28T13:47:59.000Z,279924,1661,51,0,97,https://www.youtube.com/watch?v=J5-J_5iUNuo
J9D2VqWadxc,"「RIVER」Senbatsu Announcement from Tao Kae Noi Presents BNK48 1st Concert ""STARTO"" / BNK48",2018-03-31T14:50:10.000Z,387185,10912,178,0,2403,https://www.youtube.com/watch?v=J9D2VqWadxc
JBnRbW71uI8,เพื่อนร่วมทาง The Journey Ep.08 Part 2,2018-03-01T16:00:02.000Z,83177,804,20,0,64,https://www.youtube.com/watch?v=JBnRbW71uI8
jDTSy98flmg,BNK48 Show EP01 Break04,2017-07-10T08:19:34.000Z,454309,2932,111,0,244,https://www.youtube.com/watch?v=jDTSy98flmg
JEnA2Be25aU,BNK48 Team BⅢ｜Miori Ohkubo (Miori),2018-11-16T05:45:01.000Z,91605,3387,44,0,232,https://www.youtube.com/watch?v=JEnA2Be25aU
JEXiiz_sl2E,29 Seconds of 29 members #23 : Noey,2017-05-01T13:08:49.000Z,51754,1467,12,0,61,https://www.youtube.com/watch?v=JEXiiz_sl2E
