id,title,publication_date,viewCount,likeCount,dislikeCount,commentCount,url
8yJmAMP0RP4,BNK48 SHOW EP13 (Director's Cut) Break02,5/12/2017 12:00 PM,2258195,14745,702,1002,https://www.youtube.com/watch?v=8yJmAMP0RP4
O_RFhMlUtp4,BNK48 SHOW EP13 (Director's Cut) Break03,5/12/2017 12:00 PM,1341882,7954,295,768,https://www.youtube.com/watch?v=O_RFhMlUtp4
VqrErnICWyM,BNK48 Team BⅢ Member & Stage Performance Announcement,24/12/2017 6:00 PM,163457,2810,35,373,https://www.youtube.com/watch?v=VqrErnICWyM
8DXzHGJqqaE,BNK48 Team BⅢ Captain & Vice Captain Announcement,24/12/2017 6:00 PM,121795,2294,39,302,https://www.youtube.com/watch?v=8DXzHGJqqaE
7FTgq-3lMys,BNK48 WE NEED YOU 2 : 2nd Generation Audition Announcement,24/12/2017 10:32 PM,84870,1733,18,401,https://www.youtube.com/watch?v=7FTgq-3lMys
gRc7JI3xc7Q,「Christmas Medley」from BNK48 We Wish You! A Merry Christmas –Fan Meet– / BNK48,25/12/2017 7:30 PM,141463,3703,61,254,https://www.youtube.com/watch?v=gRc7JI3xc7Q
of4wkMsff3A,「BNK48 Team BⅢ Announcement」from BNK48 We Wish You! A Merry Christmas –Fan Meet– / BNK48,26/12/2017 8:32 PM,484945,5620,119,472,https://www.youtube.com/watch?v=of4wkMsff3A
puzvi6-0KNY,「BNK48 3rd Single Announcement」from BNK48 We Wish You! A Merry Christmas –Fan Meet– / BNK48,27/12/2017 5:34 PM,999496,11175,257,1764,https://www.youtube.com/watch?v=puzvi6-0KNY
4HdXfXEQ1GE,「Koisuru Fortune Cookie –คุกกี้เสี่ยงทาย–」from BNK48 We Wish You! A Merry Christmas / BNK48,28/12/2017 11:25 PM,584388,5866,111,531,https://www.youtube.com/watch?v=4HdXfXEQ1GE
8BY1sLEFDJE,「Oogoe Diamond –ก็ชอบ ให้รู้ว่าชอบ–」from BNK48 We Wish You! A Merry Christmas –Fan Meet– / BNK48,28/12/2017 11:25 PM,1003364,8663,181,620,https://www.youtube.com/watch?v=8BY1sLEFDJE
kMKIybO_1Pw,「Shonichi (Instrumental solo ver.)」from BNK48 We Wish You! A Merry Christmas –Fan Meet– / BNK48,28/12/2017 11:25 PM,355208,7217,77,368,https://www.youtube.com/watch?v=kMKIybO_1Pw
1GFytjig8AE,「BNK48」from BNK48 We Wish You! A Merry Christmas –Fan Meet– / BNK48,28/12/2017 11:25 PM,549519,5832,86,221,https://www.youtube.com/watch?v=1GFytjig8AE
YPiYpsh8NfQ,"「Skirt, Hirari –พลิ้ว–」from BNK48 We Wish You! A Merry Christmas –Fan Meet– / BNK48",28/12/2017 11:25 PM,344732,4234,74,455,https://www.youtube.com/watch?v=YPiYpsh8NfQ
GyiXtTGlH3g,「BNK48 The Musical – Part 1」from BNK48 We Wish You! A Merry Christmas –Fan Meet– / BNK48,1/01/2018 10:00 AM,417441,8098,75,729,https://www.youtube.com/watch?v=GyiXtTGlH3g
U6JueTSzZj8,「BNK48 The Musical – Part 2」from BNK48 We Wish You! A Merry Christmas –Fan Meet– / BNK48,1/01/2018 10:00 AM,275401,5871,43,651,https://www.youtube.com/watch?v=U6JueTSzZj8
cbWPi-XGbes,เพื่อนร่วมทาง The Journey Ep.01 Part 3,11/01/2018 11:36 PM,231301,1901,48,76,https://www.youtube.com/watch?v=cbWPi-XGbes
x7Dq6P-OmW8,เพื่อนร่วมทาง The Journey Ep.01 Part 1,11/01/2018 11:36 PM,424781,4790,94,232,https://www.youtube.com/watch?v=x7Dq6P-OmW8
uEczTVCWMY8,เพื่อนร่วมทาง The Journey Ep.01 Part 2,11/01/2018 11:36 PM,229736,1932,52,96,https://www.youtube.com/watch?v=uEczTVCWMY8
eeuTtGoTTeo,「BNK48 3rd Single Coupling Song Announcement」from BNK48 2nd Single Handshake Event / BNK48,13/01/2018 4:53 PM,258283,5466,85,1218,https://www.youtube.com/watch?v=eeuTtGoTTeo
Q4mOk5c1ZMY,เพื่อนร่วมทาง The Journey Ep.02 Part 1,19/01/2018 12:16 AM,187620,1784,37,93,https://www.youtube.com/watch?v=Q4mOk5c1ZMY
eLhtcHvGbZI,เพื่อนร่วมทาง The Journey Ep.02 Part 3,19/01/2018 12:16 AM,146141,1598,17,158,https://www.youtube.com/watch?v=eLhtcHvGbZI
ZEpI3N-Kgdg,เพื่อนร่วมทาง The Journey Ep.02 Part 2,19/01/2018 12:16 AM,146834,1289,23,56,https://www.youtube.com/watch?v=ZEpI3N-Kgdg
bJ082yODsvQ,เพื่อนร่วมทาง The Journey Ep.03 Part 2,25/01/2018 10:13 PM,155961,1377,17,113,https://www.youtube.com/watch?v=bJ082yODsvQ
94beu14lpq8,เพื่อนร่วมทาง The Journey Ep.03 Part 1,25/01/2018 10:13 PM,217073,2122,35,141,https://www.youtube.com/watch?v=94beu14lpq8
3ZgwgOBYTas,เพื่อนร่วมทาง The Journey Ep.03 Part 3,25/01/2018 10:13 PM,175388,1811,20,155,https://www.youtube.com/watch?v=3ZgwgOBYTas
Lb96igqAXhE,Important Announcement from BNK48 Committee / BNK48,29/01/2018 6:00 PM,442675,9078,365,2698,https://www.youtube.com/watch?v=Lb96igqAXhE
QonPEkUPgto,เพื่อนร่วมทาง The Journey –South-Tohoku– Teaser,1/02/2018 11:18 AM,35207,870,7,98,https://www.youtube.com/watch?v=QonPEkUPgto
MZNeqW0Dykk,เพื่อนร่วมทาง The Journey Ep.04 Part 2,2/02/2018 1:31 PM,112171,1050,26,82,https://www.youtube.com/watch?v=MZNeqW0Dykk
wVJ-XxgNgD4,เพื่อนร่วมทาง The Journey Ep.04 Part 1,2/02/2018 1:31 PM,146698,1702,26,152,https://www.youtube.com/watch?v=wVJ-XxgNgD4
XvkFQdchBJY,เพื่อนร่วมทาง The Journey Ep.04 Part 3,2/02/2018 1:32 PM,121612,1616,24,196,https://www.youtube.com/watch?v=XvkFQdchBJY
01Fj8yDyXVM,BNK48 Introduction (February 2018),8/02/2018 5:27 PM,203626,6252,96,780,https://www.youtube.com/watch?v=01Fj8yDyXVM
Xl5gLtnRIgk,เพื่อนร่วมทาง The Journey Ep.05 Part 1,8/02/2018 11:32 PM,122792,1426,18,123,https://www.youtube.com/watch?v=Xl5gLtnRIgk
XAS1SBYonYc,เพื่อนร่วมทาง The Journey Ep.05 Part 2,8/02/2018 11:32 PM,98641,1161,20,105,https://www.youtube.com/watch?v=XAS1SBYonYc
-t4Ee33wOWs,เพื่อนร่วมทาง The Journey Ep.05 Part 3,9/02/2018 1:14 PM,104869,1184,29,105,https://www.youtube.com/watch?v=-t4Ee33wOWs
Ldj8T0nojq8,เพื่อนร่วมทาง The Journey Ep.06 Part 1,15/02/2018 11:03 PM,108722,1436,24,131,https://www.youtube.com/watch?v=Ldj8T0nojq8
yPBTJTozYoE,เพื่อนร่วมทาง The Journey Ep.06 Part 2,15/02/2018 11:03 PM,88011,1008,24,93,https://www.youtube.com/watch?v=yPBTJTozYoE
Ukhv25iwoL4,เพื่อนร่วมทาง The Journey Ep.06 Part 3,15/02/2018 11:03 PM,87395,1103,23,117,https://www.youtube.com/watch?v=Ukhv25iwoL4
FnawecgNFt8,เพื่อนร่วมทาง The Journey Ep.07 Part 1,22/02/2018 10:00 PM,94968,1289,18,119,https://www.youtube.com/watch?v=FnawecgNFt8
Foahwp9BTW0,เพื่อนร่วมทาง The Journey Ep.07 Part 2,22/02/2018 10:00 PM,85206,1418,22,175,https://www.youtube.com/watch?v=Foahwp9BTW0
